Name,Price
Laptop Dell G3 3579 Core i5-8300H| RAM 8GB| HDD 500gb + SSD 128GB| VGA 4GB NVIDIA GTX 1050| 15.6 inch FHD,11.500.000đ
Laptop Cũ HP ZBOOK 15 G1 I7 4800MQ | RAM 8GB | SSD 256GB | 15.6” FullHD | VGA NVIDIA K1100M,7.000.000đ
"Laptop cũ Gaming Asus ROG Strix SCAR GL503 /Core i7-8750H /RAM 8GB, HDD 1TB + SSD 128GB, VGA 4GB NVIDIA GTX 1050Ti, 15.6 inch, FHD",0đ
"Laptop HP ZBOOK STUDIO 15 G3 MOBILE WORKSTATION ( I7-6700HQ 2.6GHZ, 8GB RAM, 256GB SSD, VGA NVIDIA QUADRO M1000M 4GB Vram ) 15.6 FHD",13.500.000đ
Dell Latitude E6520 i5 2520M | RAM 4 GB | HDD 250G | 15.6” HD | Card on,0đ
Laptop Cũ Dell Precision 5530 /Core i7- 8750H / RAM 16GB / SSD 512GB / FHD / Nvidia Quadro P1000,15.900.000đ
Dell Latitude E6520 i5 2520M | RAM 4 GB | HDD 250G | 15.6” HD | Card on,0đ
Laptop Cũ Dell Precision 5510 i7 6820HQ | 16GB | SSD 512GB | Nvidia Quadro M1000M | Full HD,12.800.000đ
Laptop Cũ Dell G5 5587 Core i5-8300H| RAM 8GB| HDD 1TB + SSD 128GB| VGA NVIDIA GTX 1050Ti| 15.6 inch FHD,17.300.000đ
Laptop Lenovo Yoga 920 /i7 -8550U/ 16GB Ram/ 256GB SSD/ Card On/ FHD Cảm Ứng,0đ
Laptop Cũ HP ZBOOK 15 G1 I7 4800MQ | RAM 8GB | SSD 256GB | 15.6” FullHD | VGA NVIDIA K1100M,7.000.000đ
Laptop Cũ Dell XPS 15 9575 i7- 8705G| Ram 8GB| SSD 256GB| FHD IPS Touch,0đ
XPS ĐÃ LÀM GÌ ĐỂ THU HÚT KHÁCH HÀNG ?,
Laptop Cũ Dell G5 5587 Core i5-8300H| RAM 8GB| HDD 1TB + SSD 128GB| VGA NVIDIA GTX 1050Ti| 15.6 inch FHD,17.300.000đ
Dell Inspiron 7557 Gaming i5 – 4210H | RAM 8GB| SSD 128GB + HDD 500GB| 15.6” Full HD | VGA GTX 960m (4gb),8.200.000đ
Laptop Cũ Dell G7 7588 Core i7-8750H| RAM 8GB| SSD 128GB + HDD 1TB| VGA 4GB NVIDIA GTX 1050Ti| 15.6 inch FHD,16.500.000đ
Laptop Cũ Dell XPS 15 9575 i7- 8705G| Ram 8GB| SSD 256GB| FHD IPS Touch,0đ
Laptop Cũ Dell Precision 5530 /Core i7- 8750H / RAM 16GB / SSD 512GB / FHD / Nvidia Quadro P1000,15.900.000đ
Laptop Dell G3 3579 Core i5-8300H| RAM 8GB| HDD 500gb + SSD 128GB| VGA 4GB NVIDIA GTX 1050| 15.6 inch FHD,11.500.000đ
Dell Inspiron 7557 Gaming i5 – 4210H | RAM 8GB| SSD 128GB + HDD 500GB| 15.6” Full HD | VGA GTX 960m (4gb),8.200.000đ
Laptop cũ Lenovo ThinkPad X280 -Core i5*8350U – 8 GB RAM – SSD 256 GB-12.5″.FHD,8.900.000đ
Lenovo Thinkpad T431s i5 3337U | RAM 8 GB | SSD 256G | 14.0” HD  | Card on,
Lenovo ThinkPad T431s i7*3687/8G/SSD240G/ 14.0″ HD  1600*900.,
Hp Elitebook 8570p i7 3520M | RAM 4G | HDD 250G | 15.6” HD | VGA RỜI AMD 7570M,
Dell Latitude E6220 | i5-2520M | Ram 4GB | 12.5 ich HD | Card On,
Hp Elitebook 8570p i7 3520M | RAM 4G | HDD 250G | 15.6” HD | VGA RỜI AMD 7570M,
Hp Elitebook 8440p i5 520M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
HP EliteBook 8470w Core i5-3320M |4GB RAM | 250GB HDD | 14.0″ HD | VGA AMD FIREPRO M2000,
Dell Latitude E6220 | i5-2520M | Ram 4GB | 12.5 ich HD | Card On,
Hp Elitebook 2560p i5 2520M | RAM 4G | HDD 250G | 12.5” FHD | On | VGA Khong Co,
Hp Elitebook 8470p i5 3320M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Laptop Cũ Hp Elitebook 8570p i5 3320M | RAM 4G | HDD 250G | 15.6” HD | VGA RỜI AMD 7570M,0đ
Hp Elitebook 8460w i7 2620M |RAM 4G | 250G | 14.0″ | VGA ATI FirePro M3900,
Lenovo Thinkpad T431s i5 3337U | RAM 8 GB | SSD 256G | 14.0” HD  | Card on,
HP EliteBook 8470w Core i5-3320M |4GB RAM | 250GB HDD | 14.0″ HD | VGA AMD FIREPRO M2000,
Hp Elitebook 8470W Workstation i7 3520M | RAM 4GB | HDD 320GB | 14 Inches HD | Card rời AMD Firepro M2000,
Laptop Cũ Hp Elitebook Folio 9470m Ultrabook i5| RAM 4G | SSD 120GB | 14 Inches | Card on,3.900.000đ
Hp Elitebook 8570p i7 3520M | RAM 4G | HDD 250G | 15.6” HD | VGA RỜI AMD 7570M,
Hp Elitebook 8460w i7 2620M |RAM 4G | 250G | 14.0″ | VGA ATI FirePro M3900,
Dell Latitude E6410 i5 520M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Laptop Cũ Hp Elitebook 8570p i5 3320M | RAM 4G | HDD 250G | 15.6” HD | VGA RỜI AMD 7570M,0đ
Dell Latitude E6220 | i5-2520M | Ram 4GB | 12.5 ich HD | Card On,
Hp Elitebook Revolve 810 G1 i5 3437U | RAM 4G | SSD 128G | 11.6” HD cảm ứng | Card on,
Hp Elitebook 8460p i5 2520M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Hp Elitebook Revolve 810 G1 i5 3437U | RAM 4G | SSD 128G | 11.6” HD cảm ứng | Card on,
Laptop Cũ Hp Elitebook 8570p i5 3320M | RAM 4G | HDD 250G | 15.6” HD | VGA RỜI AMD 7570M,0đ
Hp Elitebook 8570p i7 3520M | RAM 4G | HDD 250G | 15.6” HD | VGA RỜI AMD 7570M,
Hp Elitebook 8470W Workstation i7 3520M | RAM 4GB | HDD 320GB | 14 Inches HD | Card rời AMD Firepro M2000,
"HP Elitebook 8560W /Core i7 2720QM, 8GB, HDD 500G, VGA 2GB NVidia Quadro 1000M/2000M, 15.6 inch full hd",
HP EliteBook 8470w Core i5-3320M |4GB RAM | 250GB HDD | 14.0″ HD | VGA AMD FIREPRO M2000,
Hp Elitebook 8460p i5 2520M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Hp Elitebook 8570p i7 3520M | RAM 4G | HDD 250G | 15.6” HD | VGA RỜI AMD 7570M,
Hp Elitebook 8560p i5 2520M | RAM 4G | HDD 250GB | 15.6” HD | VGA RỜI AMD 6470M,
Hp Elitebook 8460p i5 2520M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Laptop Cũ Hp Elitebook Folio 9470m Ultrabook i5| RAM 4G | SSD 120GB | 14 Inches | Card on,3.900.000đ
Hp Elitebook 2560p i5 2520M | RAM 4G | HDD 250G | 12.5” FHD | On | VGA Khong Co,
Laptop Cũ Hp Elitebook 8570w i7 3720QM/ 3740QM| RAM 8G | HDD 500G | 15.6” FullHD | VGA RỜI NVIDIA K1000M| K2000M,
